"collecting_method","guid","othercatalognumbers","accn_number","scientific_name","collectors","preparators","country","state_prov","county","spec_locality","verbatim_date","parts","dec_lat","dec_long","coordinateuncertaintyinmeters","age","sex","coll_method_2","coll_method_4","coll_method_3","coll_method_5","coll_method_6","coll_NAs","coll_method_7","coll_method","genus"
"0","MVZ:Bird:179419","collector number=7012","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","Garcia Mountain, 2 mi S and 2 mi W Pozo","11-May-00","skin, study; tissue",35.265,-120.405,389,"adult skull","38.40; male; testis 12 x 9 mm; large cloacal protuberance; adult skull; no fat; irides orange-red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179420","collector number=7013","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","Garcia Mountain, 2 mi S and 2 mi W Pozo","11-May-00","skin, study; tissue",35.265,-120.405,389,"adult skull","36.20; male; testis 10 x 7 mm; medium cloacal protuberance; adult skull; no fat; irides orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179421","collector number=7014","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","Garcia Mountain, 2 mi S and 2 mi W Pozo","11-May-00","skin, study; tissue",35.265,-120.405,389,"adult skull","38.70; male; testis 12 x 7 mm; large cloacal protuberance; adult skull; no fat; irides red-orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179422","collector number=7015","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","Garcia Mountain, 2 mi S and 2 mi W Pozo","11-May-00","skin, study; tissue",35.265,-120.405,389,"adult skull","38.70; male; testis 14 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179423","collector number=7016","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","Garcia Mountain, 2 mi S and 2 mi W Pozo","11-May-00","skin, study; tissue",35.265,-120.405,389,"adult skull","39.50; male; testis 9 x 7 mm; medium cloacal protuberance; adult skull; no fat; irides orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179424","collector number=7017","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","Garcia Mountain, 2 mi S and 2 mi W Pozo","11-May-00","skin, study; tissue",35.265,-120.405,389,"adult skull","39.70; male; testis 12 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179425","collector number=7018","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","Garcia Mountain, 2 mi S and 2 mi W Pozo","12-May-00","skin, study; tissue",35.265,-120.405,389,"adult skull","35.50; male; testis 8 x 6 mm; small cloacal protuberance; adult skull; no fat; irides pale orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179426","collector number=7004","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","9-May-00","skin, study; tissue",35.26096,-120.42188,837,"adult skull","37.40; male; testis 12 x 8 mm; large cloacal protuberance; adult skull; no fat; irides dark red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179427","collector number=7005","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","9-May-00","skin, study; tissue",35.26096,-120.42188,837,"adult skull","39.40; male; testis 11 x 7 mm; large cloacal protuberance; adult skull; no fat; irides red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179428","collector number=7006","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","9-May-00","skin, study; tissue",35.26096,-120.42188,837,"adult skull","39.10; male; testis 10 x 6 mm; medium cloacal protuberance; adult skull; no fat; irides pale red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179429","collector number=7007","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","9-May-00","skin, study; tissue",35.26096,-120.42188,837,"adult skull","41.00; male; testis 13 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179430","collector number=7008","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","10-May-00","skin, study; tissue",35.26096,-120.43072,1642,"adult skull","37.10; male; testis 13 x 8 mm; large cloacal protuberance; adult skull; no fat; irides dark red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179431","collector number=7009","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","10-May-00","skin, study; tissue",35.26096,-120.43072,1642,"adult skull","39.70; male; testis 13 x 8 mm; large cloacal protuberance; adult skull; no fat; irides dull red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179432","collector number=7010","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","10-May-00","skin, study; tissue",35.26096,-120.43072,1642,"adult skull","37.50; male; testis 12 x 7 mm; large cloacal protuberance; adult skull; no fat; irides red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179433","collector number=7011","13472","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","SAN LUIS OBISPO ","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","10-May-00","skin, study; tissue",35.26096,-120.43072,1642,"adult skull","45.10; male; testis 17 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179452","collector number=7037","13473","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","LASSEN ","4.5 mi W Shinn Peaks","27-May-00","skin, study; tissue",40.69176,-120.29839,6511,"adult skull","38.90; male; testis 13 x 8 mm; medium cloacal protuberance; adult skull; no fat; irides red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179453","collector number=7038","13473","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","LASSEN ","4.5 mi W Shinn Peaks","27-May-00","skin, study; tissue",40.69176,-120.29839,6511,"adult skull","40.50; male; testis 11 x 9 mm; medium cloacal protuberance; adult skull; no fat; irides bright orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179454","collector number=7039","13473","Pipilo maculatus ssp.","Ned K. Johnson",NA,"United States","California","LASSEN ","4.5 mi W Shinn Peaks","27-May-00","skin, study; tissue",40.69176,-120.29839,6511,"adult skull","37.40; male; testis 10 x 7 mm; medium cloacal protuberance; adult skull; no fat; irides red-orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179455","collector number=1948","13475","Sitta carolinensis aculeata","Carla Cicero",NA,"United States","California","YUBA ","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","8-Apr-00","skin, study; tissue",39.27833333,-121.2983333,499,"adult skull","male","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Sitta"
"0","MVZ:Bird:179456","collector number=1951","13475","Phainopepla nitens lepida","Carla Cicero",NA,"United States","California","YUBA ","University of California Sierra Foothill Range Field Station, 3.5 mi N and 0.5 mi W Smartville","9-Apr-00","skin, study; tissue; tissue sample; tissue sample",39.2584115,-121.3068958,2066,"adult skull","female","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Phainopepla"
"0","MVZ:Bird:179457","collector number=1940","13475","Leiothlypis celata lutescens","Carla Cicero",NA,"United States","California","YUBA ","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","7-Apr-00","skin, study; tissue; tissue sample",39.27833333,-121.2983333,499,"adult skull","7.90; male; testis 5 x 4 mm; adult skull; no fat; no molt","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Leiothlypis"
"0","MVZ:Bird:179458","collector number=1941","13475","Leiothlypis celata lutescens","Carla Cicero",NA,"United States","California","YUBA ","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","7-Apr-00","skin, study; tissue; tissue sample",39.27833333,-121.2983333,499,"adult skull","8.00; male; testis 5 x 4 mm; adult skull; no fat; no molt","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Leiothlypis"
"0","MVZ:Bird:179459","collector number=1931","13475","Pipilo maculatus ssp.","Carla Cicero",NA,"United States","California","YUBA ","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","6-Apr-00","skin, study; tissue",39.27833333,-121.2983333,499,"adult skull; adult wings and tail","39.90; male; testis 13 x 7 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; irides red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179460","collector number=1932","13475","Pipilo maculatus ssp.","Carla Cicero",NA,"United States","California","YUBA ","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","7-Apr-00","skin, study; tissue",39.27833333,-121.2983333,499,"adult skull; adult wings and tail","38.80; male; testis 11 x 6 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; irides red","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
"0","MVZ:Bird:179461","collector number=1933","13475","Pipilo maculatus ssp.","Carla Cicero",NA,"United States","California","YUBA ","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","7-Apr-00","skin, study; tissue",39.27833333,-121.2983333,499,"adult skull; adult wings and tail","36.00; male; testis 11 x 7 mm; medium cloacal protuberance; adult skull; adult wings and tail; no fat; irides red-orange","unknown","unknown","unknown","unknown","unknown","unknown","unknown","active","Pipilo"
